Gene	Category	DAN	Size	rho	p	FDR	depleted	enriched
DYNLRB1	Other	-1.36206531468641	4	2.28389768841199e-07	8.10405170168878e-07	0.000512120177534995	27	NA
USP17L11	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	28	NA
USP17L12	Other	-1.07553463383289	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	29	NA
USP17L17	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	30	NA
USP17L18	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	31	NA
USP17L19	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	32	NA
USP17L20	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	33	NA
USP17L21	Other	-1.07553463383289	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	34	NA
USP17L22	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	35	NA
USP17L24	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	36	NA
USP17L25	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	37	NA
USP17L26	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	38	NA
USP17L27	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	39	NA
USP17L28	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	40	NA
USP17L29	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	41	NA
USP17L30	Other	-1.16602909838031	6	7.95687427187871e-08	1.3506752836148e-06	0.000515676567656766	42	NA
NPIPA1	Other	-1.48660260859465	4	2.53993339157646e-07	1.3506752836148e-06	0.000515676567656766	43	NA
NPIPA2	Other	-1.48660260859465	4	2.53993339157646e-07	1.3506752836148e-06	0.000515676567656766	44	NA
NPIPA3	Other	-1.48660260859465	4	2.53993339157646e-07	1.3506752836148e-06	0.000515676567656766	45	NA
PRELID1	Other	-1.44848893482953	4	2.61953951344991e-07	1.3506752836148e-06	0.000515676567656766	46	NA
CDCA8	Other	-1.40478461648006	4	3.50707606158159e-07	1.89094539706071e-06	0.000653838968802541	47	NA
CRKL	Other	-1.35942208481204	4	3.6241637295607e-07	1.89094539706071e-06	0.000653838968802541	48	NA
PSMA3	Essential	-1.38800103330685	4	3.6638367452681e-07	1.89094539706071e-06	0.000653838968802541	49	NA
PAWR	Other	0.587418406117205	4	3.76851121355405e-07	1.89094539706071e-06	0.000653838968802541	NA	3
DBR1	Other	-1.42847731473258	4	3.78481186007248e-07	1.89094539706071e-06	0.000653838968802541	50	NA
EIF3CL	Other	-0.949741221626505	6	4.26746180816015e-07	4.05202585084439e-06	0.00135013501350135	51	NA
TTI2	Other	-1.29782421645241	4	4.82439326046612e-07	4.05202585084439e-06	0.00135013501350135	52	NA
ANKLE2	Other	-1.31213674193146	4	5.55820399866e-07	5.13256607773623e-06	0.00136789994788953	53	NA
RABGGTB	Other	-1.24747880969401	4	5.72336970899868e-07	5.13256607773623e-06	0.00136789994788953	54	NA
TBC1D3C	Other	-1.06497490350226	5	5.25234391305827e-07	5.67283619118214e-06	0.00136789994788953	55	NA
RPS11	Essential	-1.27311821470138	4	5.99525728951846e-07	5.67283619118214e-06	0.00136789994788953	56	NA
SUPT6H	Essential	-1.28809586100878	4	6.12305867240174e-07	5.67283619118214e-06	0.00136789994788953	57	NA
SNRPD1	Essential	-1.43106821168241	4	6.22913422009586e-07	5.67283619118214e-06	0.00136789994788953	58	NA
GEMIN5	Other	-1.33928507076433	4	6.26479711120837e-07	5.67283619118214e-06	0.00136789994788953	59	NA
DNAJC17	Other	-1.29931346015415	4	6.30061291583911e-07	5.67283619118214e-06	0.00136789994788953	60	NA
RRM2	Other	-1.46852337483611	4	6.40206154362851e-07	5.67283619118214e-06	0.00136789994788953	61	NA
LSM2	Other	-1.57874960550668	4	6.58032771409358e-07	5.67283619118214e-06	0.00136789994788953	62	NA
PSMD7	Essential	-1.48261668156551	4	6.59265245957815e-07	5.67283619118214e-06	0.00136789994788953	63	NA
SMU1	Other	-1.15921298442667	4	6.65480368369951e-07	5.67283619118214e-06	0.00136789994788953	64	NA
KIF11	Other	-1.30248170116363	4	6.80565038865527e-07	5.67283619118214e-06	0.00136789994788953	65	NA
MTOR	Other	-1.23474560082275	4	6.92045732981239e-07	5.67283619118214e-06	0.00136789994788953	66	NA
SRSF2	Other	-1.45952486916298	4	7.01075101333008e-07	5.67283619118214e-06	0.00136789994788953	67	NA
UTP15	Other	-1.21534194446694	4	7.1412711515304e-07	5.67283619118214e-06	0.00136789994788953	68	NA
SRBD1	Other	-1.3538921286956	4	7.30029127782997e-07	5.67283619118214e-06	0.00136789994788953	69	NA
RPL17	Other	-1.47728199884538	4	7.44837914939017e-07	5.67283619118214e-06	0.00136789994788953	70	NA
HAUS1	Other	-1.40569058579803	4	7.73733604366075e-07	5.67283619118214e-06	0.00136789994788953	71	NA
RPL9	Other	-1.44485888110559	4	7.76224559179201e-07	5.67283619118214e-06	0.00136789994788953	72	NA
MED11	Other	-1.36131643092288	4	7.7933147333613e-07	5.67283619118214e-06	0.00136789994788953	73	NA
PELP1	Other	-1.19819098866186	4	8.22289510968601e-07	6.21310630462806e-06	0.00147871930050148	74	NA
NPIPA5	Other	-1.34972980944573	5	7.39723666873198e-07	7.83391664496582e-06	0.00179455445544554	75	NA
RPS20	Essential	-1.36840971572401	4	8.54902878652856e-07	7.83391664496582e-06	0.00179455445544554	76	NA
PFDN2	Essential	-1.41386978465163	4	8.57915085835208e-07	7.83391664496582e-06	0.00179455445544554	77	NA
RIMBP3B	Other	-0.637738892271491	6	8.72318184034978e-07	8.91445687185765e-06	0.00196826911606823	78	NA
RIMBP3C	Other	-0.637738892271491	6	8.72318184034978e-07	8.91445687185765e-06	0.00196826911606823	79	NA
GOLGA6L1	Other	-1.22122886556351	4	8.83841363719451e-07	8.91445687185765e-06	0.00196826911606823	80	NA
UBA1	Essential	-1.43216890386734	4	9.19848038529557e-07	9.45472698530357e-06	0.00196894689468947	81	NA
LUC7L3	Other	-1.31702227950527	4	9.2462439217351e-07	9.45472698530357e-06	0.00196894689468947	82	NA
PPAN	Other	-1.15954885111859	4	9.63508041213223e-07	9.45472698530357e-06	0.00196894689468947	83	NA
PPAN-P2RY11	Other	-1.15954885111859	4	9.63508041213223e-07	9.45472698530357e-06	0.00196894689468947	84	NA
MAK16	Other	-1.28763947309509	4	9.73417620329315e-07	9.45472698530357e-06	0.00196894689468947	85	NA
TXNRD1	Other	-1.30223916315999	4	1.02239577878539e-06	9.99499709874949e-06	0.00205807097563689	86	NA
RPSA	Essential	-1.42968457418627	4	1.05899969857962e-06	1.10755373256413e-05	0.00223044282450223	87	NA
EEF2	Essential	-1.37509402546684	4	1.08035251818703e-06	1.10755373256413e-05	0.00223044282450223	88	NA
SRSF7	Other	-1.34064797689414	4	1.15146827644435e-06	1.16158074390872e-05	0.00226458816094375	89	NA
CIRH1A	Other	-1.25199114562609	4	1.19973900318382e-06	1.16158074390872e-05	0.00226458816094375	90	NA
USP17L5	Other	-1.11203497784546	6	1.23786968513948e-06	1.16158074390872e-05	0.00226458816094375	91	NA
KPNB1	Essential	-1.47011852152367	4	1.24452696216982e-06	1.26963476659791e-05	0.00238184195778068	92	NA
COPB1	Essential	-1.36588614962886	4	1.35831328496208e-06	1.26963476659791e-05	0.00238184195778068	93	NA
COPA	Essential	-1.1512194808007	4	1.36044313682293e-06	1.26963476659791e-05	0.00238184195778068	94	NA
SEC13	Other	-1.18622401833268	4	1.36257549242781e-06	1.3236617779425e-05	0.00238184195778068	95	NA
NBPF15	Other	-1.35725446747632	4	1.38145107034149e-06	1.3236617779425e-05	0.00238184195778068	96	NA
KIF4A	Other	-1.14387643153433	4	1.445479728687e-06	1.3236617779425e-05	0.00238184195778068	97	NA
CDC123	Other	-1.38323136437692	4	1.51355752896432e-06	1.37768878928709e-05	0.00238184195778068	98	NA
POLR2I	Essential	-1.2360787335288	4	1.51586742175908e-06	1.37768878928709e-05	0.00238184195778068	99	NA
MMS22L	Other	-1.16381692950034	4	1.5792401599421e-06	1.37768878928709e-05	0.00238184195778068	100	NA
RPL5	Essential	-1.36903215711004	4	1.61529441969263e-06	1.37768878928709e-05	0.00238184195778068	101	NA
RPL18	Essential	-1.19375621227885	4	1.63477391381987e-06	1.37768878928709e-05	0.00238184195778068	102	NA
COPS6	Essential	-1.13568315066041	4	1.63967119229022e-06	1.37768878928709e-05	0.00238184195778068	103	NA
YARS	Other	-1.24511287565149	4	1.66432283600849e-06	1.43171580063168e-05	0.00240712144608956	104	NA
PDRG1	Other	-1.13290813052122	4	1.67675237753859e-06	1.43171580063168e-05	0.00240712144608956	105	NA
INTS9	Essential	-1.23514172485458	4	1.69175957736614e-06	1.43171580063168e-05	0.00240712144608956	106	NA
RPL4	Essential	-1.4892123992692	4	1.72716803467119e-06	1.48574281197628e-05	0.00245294799750245	107	NA
TSR1	Other	-1.27505775431493	4	1.76312942816784e-06	1.48574281197628e-05	0.00245294799750245	108	NA
PSMA2	Essential	-1.08607081339336	4	1.80491257582898e-06	1.59379683466546e-05	0.00251792420621372	109	NA
FARSB	Other	-1.19015891126545	4	1.8075484462566e-06	1.59379683466546e-05	0.00251792420621372	110	NA
MED1	Other	-1.29976749950256	4	1.81018720267342e-06	1.59379683466546e-05	0.00251792420621372	111	NA
RUVBL2	Essential	-1.13139703911027	4	1.82608046492569e-06	1.59379683466546e-05	0.00251792420621372	112	NA
HSPA9	Essential	-1.31417671142779	4	1.83140140247558e-06	1.59379683466546e-05	0.00251792420621372	113	NA
SF3B4	Essential	-1.26890764671679	4	1.85818072665391e-06	1.70185085735464e-05	0.00256558502565585	114	NA
TXNL4A	Other	-1.26055502835971	4	1.97951466112783e-06	1.75587786869923e-05	0.00256558502565585	115	NA
HIST2H3A	Other	-1.29898399623318	4	1.99366916082118e-06	1.80990488004383e-05	0.00256558502565585	116	NA
HIST2H3C	Other	-1.29898399623318	4	1.99366916082118e-06	1.80990488004383e-05	0.00256558502565585	117	NA
SNRPD2	Essential	-1.07113942392737	4	2.00504730443921e-06	1.80990488004383e-05	0.00256558502565585	118	NA
TARS	Other	-1.22975263492268	4	2.05685278530096e-06	1.80990488004383e-05	0.00256558502565585	119	NA
POLR2E	Other	-1.16816167614117	4	2.05975999726492e-06	1.80990488004383e-05	0.00256558502565585	120	NA
RPS2	Other	-1.17155065889702	4	2.06850012642755e-06	1.80990488004383e-05	0.00256558502565585	121	NA
VPS41	Other	-1.26238890356018	4	2.07434231202796e-06	1.80990488004383e-05	0.00256558502565585	122	NA
RPS3A	Essential	-1.37746992493712	4	2.08606380043773e-06	1.80990488004383e-05	0.00256558502565585	123	NA
RCC1	Other	-1.16338210047378	4	2.11261873399245e-06	1.80990488004383e-05	0.00256558502565585	124	NA
CDC20	Other	-1.23638759072186	4	2.1364352328508e-06	1.86393189138842e-05	0.00256558502565585	125	NA
ACTR2	Other	-1.31636046160224	4	2.19380627562056e-06	1.86393189138842e-05	0.00256558502565585	126	NA
RPL7A	Essential	-1.19649680694759	4	2.3183574862243e-06	1.86393189138842e-05	0.00256558502565585	127	NA
KIF18A	Other	-1.24332829809899	4	2.35995568634631e-06	1.91795890273301e-05	0.00256558502565585	128	NA
EIF2S1	Other	-1.2155202586277	4	2.36640475022033e-06	1.91795890273301e-05	0.00256558502565585	129	NA
THAP1	Other	-1.31270551472063	4	2.37934252156035e-06	1.91795890273301e-05	0.00256558502565585	130	NA
RNGTT	Other	-1.2611075572444	4	2.39558925344219e-06	1.91795890273301e-05	0.00256558502565585	131	NA
EIF4A1	Other	-1.17959240740686	4	2.3988485580779e-06	1.91795890273301e-05	0.00256558502565585	132	NA
POLR3A	Other	-1.21804604682684	4	2.4580867565596e-06	1.91795890273301e-05	0.00256558502565585	133	NA
NOC3L	Other	-1.05927110866974	4	2.46473584627274e-06	1.91795890273301e-05	0.00256558502565585	134	NA
SNRPF	Other	-1.19735974370706	4	2.47473476182511e-06	1.9719859140776e-05	0.00259990027779756	135	NA
PPWD1	Other	-1.1751829814648	4	2.50154728596087e-06	1.9719859140776e-05	0.00259990027779756	136	NA
CHMP2A	Essential	-1.06624915200358	4	2.53536863868904e-06	2.02601292542219e-05	0.00263324204760902	137	NA
TXN	Other	-1.07404811702288	4	2.55924681973486e-06	2.02601292542219e-05	0.00263324204760902	138	NA
LYRM4	Other	-1.16200603517272	4	2.60057276251114e-06	2.13406694811138e-05	0.00271589658965897	139	NA
FAM86B1	Other	-1.31912981758858	4	2.61793879745441e-06	2.13406694811138e-05	0.00271589658965897	140	NA
NACA	Essential	-1.26882714697181	4	2.62840007832587e-06	2.13406694811138e-05	0.00271589658965897	141	NA
METTL16	Other	-1.19700553738464	4	2.65293164621497e-06	2.18809395945597e-05	0.00276544895868897	142	NA
CCT3	Essential	-1.24538474976969	4	2.71680141102603e-06	2.24212097080056e-05	0.00281432252814323	143	NA
COPG1	Other	-1.24987458283784	4	2.77817523574032e-06	2.29614798214515e-05	0.00286253115107429	144	NA
RPS4X	Essential	-1.31745119869235	4	2.90027479461731e-06	2.51225602752352e-05	0.00291725601131542	145	NA
RPAIN	Other	-1.11700817763316	4	3.04191261185109e-06	2.51225602752352e-05	0.00291725601131542	146	NA
DHX15	Other	-1.15287934945137	4	3.11531039378703e-06	2.51225602752352e-05	0.00291725601131542	147	NA
RPS29	Other	-1.37575798303537	4	3.18867593449975e-06	2.51225602752352e-05	0.00291725601131542	148	NA
RAE1	Other	-1.06626352119706	4	3.25375923372895e-06	2.56628303886811e-05	0.00291725601131542	149	NA
YRDC	Other	-1.17589628093543	4	3.29080355787153e-06	2.56628303886811e-05	0.00291725601131542	150	NA
SF3A1	Essential	-1.17410773722765	4	3.33233393007448e-06	2.6203100502127e-05	0.00291725601131542	151	NA
ZMAT2	Other	-1.20586939505077	4	3.34068694852055e-06	2.6203100502127e-05	0.00291725601131542	152	NA
FNTB	Other	-1.17560710054478	4	3.34486934168449e-06	2.6203100502127e-05	0.00291725601131542	153	NA
EMC10	Other	0.603330839107947	4	3.3448693416845e-06	2.6203100502127e-05	0.00291725601131542	NA	4
DPAGT1	Other	-1.26392087987452	4	3.36510698627743e-06	2.6203100502127e-05	0.00291725601131542	154	NA
PLK1	Other	-1.13719684757954	4	3.37004623056829e-06	2.6203100502127e-05	0.00291725601131542	155	NA
NPIPB5	Other	-1.08715639973789	4	3.45499675232385e-06	2.6743370615573e-05	0.00291725601131542	156	NA
SRP14	Other	-1.08183767716693	4	3.52845878113552e-06	2.6743370615573e-05	0.00291725601131542	157	NA
VPS25	Other	-1.2443437319751	4	3.56343162260001e-06	2.6743370615573e-05	0.00291725601131542	158	NA
LRR1	Other	-1.08083646698127	4	3.59424555251553e-06	2.6743370615573e-05	0.00291725601131542	159	NA
CDC7	Other	-1.12002384104536	4	3.71497490437365e-06	2.6743370615573e-05	0.00291725601131542	160	NA
GNB2L1	Other	-1.34998128325645	4	3.72857455424069e-06	2.6743370615573e-05	0.00291725601131542	161	NA
TRNT1	Other	-1.14325700358097	4	3.82019552291552e-06	2.6743370615573e-05	0.00291725601131542	162	NA
EIF2S3	Other	-1.288795816755	4	3.86663407859484e-06	2.6743370615573e-05	0.00291725601131542	163	NA
CHAF1B	Other	-1.22699692986138	4	3.88064783921514e-06	2.6743370615573e-05	0.00291725601131542	164	NA
XRCC6	Other	-1.10608550612362	4	3.93235775805367e-06	2.72836407290189e-05	0.00293046546033914	165	NA
LSM3	Other	-1.07100299591704	4	3.9655320296981e-06	2.72836407290189e-05	0.00293046546033914	166	NA
RGPD8	Other	-1.27998590612271	5	2.45433160712179e-06	2.78239108424648e-05	0.00293046546033914	167	NA
MED8	Other	-1.18172268348717	4	4.01328740971952e-06	2.78239108424648e-05	0.00293046546033914	168	NA
CPSF3L	Other	-1.15064208132881	4	4.02289000727742e-06	2.78239108424648e-05	0.00293046546033914	169	NA
DDX56	Other	-1.22043006071956	4	4.03250982664617e-06	2.78239108424648e-05	0.00293046546033914	170	NA
IPO11	Other	-0.983518052506539	4	4.10520949631169e-06	2.89044510693566e-05	0.00302687411598303	171	NA
BUB1B	Other	-1.24729406484073	4	4.18878593264976e-06	2.94447211828026e-05	0.00304860994574034	172	NA
UBR4	Other	-1.01904434261321	4	4.20366615222435e-06	2.94447211828026e-05	0.00304860994574034	173	NA
TBC1D3H	Other	-0.98436430761661	5	2.76933108910725e-06	3.05252614096944e-05	0.00314273000333741	174	NA
POLR3H	Other	-1.10499367496611	4	4.24354057811556e-06	3.10655315231403e-05	0.00318048564633	175	NA
PSMC5	Other	-1.16283916552508	4	4.36997831843552e-06	3.21460717500321e-05	0.00327282728272827	176	NA
GGPS1	Other	-1.00466950722145	4	4.42649699844417e-06	3.26863418634781e-05	0.00327327814748688	177	NA
PGK1	Other	-1.0972779273887	4	4.45236774783151e-06	3.26863418634781e-05	0.00327327814748688	178	NA
NAA10	Other	-1.29055443847983	4	4.49922067372866e-06	3.26863418634781e-05	0.00327327814748688	179	NA
PDCD11	Other	-1.13241919547959	4	4.54117727811393e-06	3.3226611976924e-05	0.00330929832113646	180	NA
RPL24	Essential	-1.15932356748967	4	4.56754873774434e-06	3.37668820903699e-05	0.00334492908750334	181	NA
RFC2	Other	-1.08722160876402	4	4.85973798570456e-06	3.64682326575995e-05	0.00355357317910009	182	NA
TSR2	Other	-1.18945600770074	4	4.97964144779696e-06	3.64682326575995e-05	0.00355357317910009	183	NA
SNRPB	Other	-1.23111859977576	4	5.16665667305335e-06	3.70085027710454e-05	0.00355357317910009	184	NA
SNAPC1	Other	-1.13305997753915	4	5.18313919869296e-06	3.70085027710454e-05	0.00355357317910009	185	NA
INTS3	Other	-1.02572846676487	4	5.27086316218663e-06	3.75487728844913e-05	0.00355357317910009	186	NA
SUMO2	Other	-0.93570796026581	6	3.382025646103e-06	3.80890429979372e-05	0.00355357317910009	187	NA
SOD1	Other	-1.17418516532356	4	5.36565782115164e-06	3.80890429979372e-05	0.00355357317910009	188	NA
NARS	Other	-1.08697492739727	4	5.40153338584036e-06	3.86293131113832e-05	0.00355357317910009	189	NA
ELP3	Other	-1.16710530201035	4	5.41353178940766e-06	3.86293131113832e-05	0.00355357317910009	190	NA
ORC6	Other	-1.09181914762669	4	5.43156686026782e-06	3.86293131113832e-05	0.00355357317910009	191	NA
UBTF	Other	-1.03092267304866	4	5.44361525017408e-06	3.86293131113832e-05	0.00355357317910009	192	NA
CSNK2B	Other	-1.03571037198252	4	5.50415814393673e-06	3.86293131113832e-05	0.00355357317910009	193	NA
ARIH1	Other	-1.21569256188128	4	5.58976488628463e-06	3.86293131113832e-05	0.00355357317910009	194	NA
RFC3	Other	-1.11451382163463	4	5.64532258659352e-06	3.91695832248291e-05	0.00355357317910009	195	NA
TRRAP	Other	-0.980111174172009	4	5.70753798059018e-06	3.91695832248291e-05	0.00355357317910009	196	NA
EIF3D	Essential	-1.012499780862	4	5.73883781391807e-06	3.91695832248291e-05	0.00355357317910009	197	NA
GUK1	Other	-1.11118713909979	4	5.80815046924894e-06	3.91695832248291e-05	0.00355357317910009	198	NA
RPS17	Essential	-1.10885152916168	4	5.87170507391204e-06	3.9709853338275e-05	0.00358484124274496	199	NA
RUVBL1	Essential	-1.29268738302438	4	5.91008732990329e-06	4.02501234517209e-05	0.00360247292334867	200	NA
SNAPC3	Other	-1.35854181290302	4	5.94059219905084e-06	4.07903935651668e-05	0.00360247292334867	201	NA
DDB1	Essential	-1.19791170708094	4	5.9874160534318e-06	4.13306636786128e-05	0.00360247292334867	202	NA
NPM1	Other	-1.13478588472782	4	6.22396010762258e-06	4.18709337920587e-05	0.00360247292334867	203	NA
MED30	Other	-1.30190672954618	4	6.27263393501245e-06	4.18709337920587e-05	0.00360247292334867	204	NA
DHX37	Other	-1.08563322296155	4	6.28417535440614e-06	4.18709337920587e-05	0.00360247292334867	205	NA
SF1	Other	-1.02015507339309	4	6.39230225306889e-06	4.18709337920587e-05	0.00360247292334867	206	NA
WDR82	Other	-1.38682917322893	4	6.45314997437967e-06	4.18709337920587e-05	0.00360247292334867	207	NA
AFG3L2	Other	-0.950577708352146	4	6.45373344063951e-06	4.18709337920587e-05	0.00360247292334867	208	NA
ALDOA	Other	-1.11521580378318	4	6.5156063416995e-06	4.18709337920587e-05	0.00360247292334867	209	NA
POLD3	Other	-1.10137187201603	4	6.68981081360311e-06	4.34917441323964e-05	0.0037185746224392	210	NA
SMG1	Other	-1.1408801069173	4	6.71800436682478e-06	4.40320142458424e-05	0.0037185746224392	211	NA
NCAPG	Other	-1.18067833281631	4	6.73920794119617e-06	4.40320142458424e-05	0.0037185746224392	212	NA
NIP7	Other	-1.24698586453424	4	6.76046166854275e-06	4.40320142458424e-05	0.0037185746224392	213	NA
MIS18BP1	Other	-1.04509995073704	4	6.77465872189206e-06	4.51125544727342e-05	0.00379235171223544	214	NA
OR11H1	Other	-0.741053815766609	5	4.58282425238523e-06	4.56528245861801e-05	0.00382024503820245	215	NA
RBM22	Other	-1.35595793858933	4	6.83882236642563e-06	4.6193094699626e-05	0.00384788478847885	216	NA
MED26	Other	-1.03704484108612	4	6.86031118684845e-06	4.67333648130719e-05	0.00387527440526858	217	NA
POLR1C	Other	-1.21648468395366	4	6.87466517422745e-06	4.72736349265179e-05	0.0039024172687539	218	NA
CLTC	Essential	-1.30882353132684	4	6.96126269772558e-06	4.78139050399638e-05	0.00392931669848599	219	NA
ELP5	Other	-1.1426575203582	4	7.07065708386002e-06	4.83541751534097e-05	0.00393839383938394	220	NA
TUBGCP2	Essential	-1.18391104617204	4	7.15169530660572e-06	4.83541751534097e-05	0.00393839383938394	221	NA
RNPC3	Other	-1.19325791614221	4	7.3008198707129e-06	4.99749854937475e-05	0.00405239639008149	222	NA
TRAPPC1	Other	-1.2060487121443	4	7.36111797265107e-06	5.05152556071934e-05	0.00407816112007676	223	NA
CENPW	Other	-1.03646939793317	4	7.55195894664891e-06	5.15957958340852e-05	0.0041290155216395	224	NA
GINS2	Other	-1.26021986485563	4	7.5828344252943e-06	5.15957958340852e-05	0.0041290155216395	225	NA
CKAP5	Other	-0.973428032615179	4	7.80952212623679e-06	5.21360659475311e-05	0.00415411106328024	226	NA
RPL23	Other	-1.24166400138597	4	7.90479540869266e-06	5.2676336060977e-05	0.00417898932750418	227	NA
SARS	Other	-1.33314555036372	4	7.92874931701496e-06	5.3216606174423e-05	0.00420365312393308	228	NA
ATP1A1	Other	-1.14444855055849	4	8.09795447331904e-06	5.37568762878689e-05	0.00422810521395487	229	NA
AARS	Other	-1.09564099022454	4	8.13863740999683e-06	5.42971464013148e-05	0.00425234831175425	230	NA
PSMB5	Other	-1.14386685172382	4	8.245130495343e-06	5.53776866282066e-05	0.00431851695807879	231	NA
AGAP4	Other	-1.23765665574246	4	8.34435622244261e-06	5.59179567416526e-05	0.00432385010652964	232	NA
CWC22	Other	-0.942214333615724	4	8.36098051060101e-06	5.59179567416526e-05	0.00432385010652964	233	NA
SF3A3	Other	-1.06602531931873	4	8.57936459273227e-06	5.64582268550985e-05	0.00432909399726584	234	NA
SPC24	Other	-1.22074998533281	4	8.60483522715236e-06	5.64582268550985e-05	0.00432909399726584	235	NA
CDC45	Other	-1.23995587947135	4	8.67303420703914e-06	5.75387670819903e-05	0.00439356435643564	236	NA
WDR18	Other	-1.10388542250819	4	8.72444886707925e-06	5.80790371954362e-05	0.00440714803187636	237	NA
SYNJ2	Other	0.530602933682959	4	8.79678351491112e-06	5.86193073088821e-05	0.00440714803187636	NA	5
PSMA7	Other	-1.15443793095321	4	8.85398561116365e-06	5.91595774223281e-05	0.00440714803187636	238	NA
CDC5L	Essential	-1.20651442895092	4	8.93229132801312e-06	5.91595774223281e-05	0.00440714803187636	239	NA
SNRNP200	Essential	-1.32355261783008	4	8.94114120524027e-06	5.91595774223281e-05	0.00440714803187636	240	NA
TRAPPC3	Other	-1.02854900951873	4	8.96741290509326e-06	5.91595774223281e-05	0.00440714803187636	241	NA
GTF2B	Other	-1.1588327462769	4	9.12626098974063e-06	6.29414682164495e-05	0.00466990018839941	242	NA
TUBB	Other	-1.00525821214322	4	9.17075754791568e-06	6.34817383298954e-05	0.00467215396238419	243	NA
