Gene	Category	CCK
AKT3	Other	0.0921527022396571
AKTIP	Other	-0.124505713921118
ALAD	Other	0.0723117946147683
ALAS1	Other	0.049424504179787
ALAS2	Other	0.109476306059356
ALB	Other	0.106516423817868
ALCAM	Other	0.111384457794118
ALDH16A1	Other	0.180438569539213
ALDH18A1	Other	-0.358261754321836
ALDH1A1	Other	-0.093492150070425
ALDH1A2	Other	0.0383483961632707
ALDH1A3	Other	0.107859555355241
ALDH1B1	Other	-0.0291284272151112
ALDH1L1	Other	-0.197039333988122
ALDH1L2	Other	0.0447241517930344
ALDH2	Other	-0.0713433157270017
ALDH3A1	Other	-0.00628837373230873
ALDH3A2	Other	0.0135086789221625
ALDH3B2	Other	0.0113192955457031
ALDH4A1	Other	0.143149188221063
ALDH5A1	Other	0.107074305151398
ALDH6A1	Other	0.141801287920613
ALDH7A1	Other	-0.000846188129361191
ALDH8A1	Other	-0.0894326290364079
ALDH9A1	Other	0.223730229632756
ALDOA	Other	-0.136136771077784
ALDOB	Other	0.105935491699189
ALDOC	Other	-0.00907488560091637
ALG1	Other	0.0194580718898826
ALG10	Other	0.131227131001539
ALG10B	Other	0.171863993397477
ALG11	Other	-0.004412021867946
ALG12	Other	-0.0300116442677099
ALG13	Other	-0.0498086712646965
ALG14	Other	-0.347663565193183
ALG1L	Other	-0.299820311626953
ALG2	Other	-0.115940255430853
ALG3	Other	-0.0366756188955033
ALG5	Other	-0.106111350403562
ALG6	Other	-0.0391771070960168
ALG8	Other	0.0343955567288405
ALG9	Other	-0.200179998418214
ALK	Other	-0.114053274201904
ALKBH1	Other	0.0507026858228896
ALKBH2	Other	0.0832374167407269
ALKBH3	Other	-0.00611706011637425
ALKBH4	Other	-0.151946659569091
ALKBH5	Other	-0.344842981937693
ALKBH6	Other	0.0176462056115183
ALKBH7	Other	-0.0716981292539948
ALKBH8	Other	0.00793797283313391
ALLC	Other	0.0430020870755317
ALMS1	Other	0.207360704909714
ALOX12	Other	0.284907710083862
ALOX12B	Other	0.0613435186274062
ALOX15	Other	-0.0245430866552092
ALOX15B	Other	0.247027881740208
ALOX5	Other	-0.0770677509322099
ALOX5AP	Other	0.216226601570624
ALOXE3	Other	-0.0361613232107133
ALPI	Nonessential	0.207256557150591
ALPK1	Other	0.124093646230469
ALPK2	Other	0.157209199501137
ALPK3	Other	0.219747861821411
ALPL	Other	0.0780221347421229
ALPP	Other	0.181105691015816
ALPPL2	Nonessential	-0.0572485956329454
ALS2	Other	0.0334522407192415
ALS2CL	Other	0.0671848045289477
ALS2CR11	Other	0.146895376818296
ALS2CR12	Other	-0.100960056119338
ALX1	Other	-0.0136268664983769
ALX3	Nonessential	-0.0228944874126459
ALX4	Other	0.0241978776801825
ALYREF	Essential	-0.367281800503766
AMACR	Other	0.060494336430187
AMBN	Other	-0.0740690283392663
AMBP	Other	0.096297009116012
AMBRA1	Other	-0.173758037846496
AMD1	Other	-0.0513329651358328
AMDHD1	Other	0.0214020324544316
AMDHD2	Other	0.0713214504237547
AMELX	Nonessential	0.0932960420602289
AMELY	Other	-0.0118171347091984
AMER1	Other	0.17520269162755
AMER2	Other	-0.073018796932507
AMER3	Other	0.015823762097045
AMFR	Other	-0.0929160762494639
AMH	Other	-0.0439996463284168
AMHR2	Other	-0.0425047410148918
AMICA1	Other	0.0490014348089196
AMIGO1	Other	0.186159070572006
AMIGO2	Other	0.00758371109146749
AMIGO3	Other	0.0902873202494749
AMMECR1	Other	0.0697374988267698
AMMECR1L	Other	0.0137457325086434
AMN	Other	0.016078458154989
AMN1	Other	-0.188447513882936
AMOT	Other	0.173391144763062
AMOTL1	Other	0.191220930552154
AMOTL2	Other	0.111790863302801
AMPD1	Other	0.09273408033983
AMPD2	Other	0.13569423524454
AMPD3	Other	0.0487815981116567
AMPH	Other	-0.159607236676148
AMT	Other	0.0487574293712505
AMTN	Other	-0.0337972000788473
AMY1A	Other	-0.193397404962055
AMY1B	Other	-0.193397404962055
AMY1C	Other	-0.193397404962055
AMY2A	Other	-0.145507760238914
AMY2B	Other	-0.142451689919632
AMZ1	Other	-0.05963784355315
AMZ2	Other	0.0308051265711635
ANAPC1	Other	-0.0664716117319313
ANAPC10	Other	-0.069231004551035
ANAPC11	Other	-0.546471003826604
ANAPC13	Other	-0.284894037633433
ANAPC15	Other	-0.052351014241578
ANAPC16	Other	0.098144220946713
ANAPC2	Other	-0.357631706414717
ANAPC4	Other	-0.139380255701295
ANAPC5	Other	-0.236160467600197
ANAPC7	Other	-0.107848909570592
ANG	Other	0.0606025085159231
ANGEL1	Other	-0.0366715478583999
ANGEL2	Other	-0.0350760876137898
ANGPT1	Other	0.0444566132523763
ANGPT2	Other	-0.0296911491219581
ANGPT4	Other	0.201508378515488
ANGPTL1	Other	-0.137414186618772
ANGPTL2	Other	0.0927956393893606
ANGPTL3	Other	0.0309399764155662
ANGPTL4	Other	0.0485013236762176
ANGPTL5	Other	0.0750595802285141
ANGPTL6	Other	-0.0305345275766162
ANGPTL7	Other	0.0471549208690354
ANHX	Other	0.0365715270797943
ANK1	Other	0.164477502253375
ANK2	Other	0.229773758900292
ANK3	Other	-0.195449529204151
ANKAR	Other	0.195378990916883
ANKDD1A	Other	-0.101068824658428
ANKEF1	Other	0.0706432491619896
ANKFN1	Other	0.0797664064444208
ANKFY1	Other	-0.0696985680384565
ANKH	Other	-0.0689718850393175
ANKHD1	Other	-0.0482554042297323
ANKHD1-EIF4EBP3	Other	-0.0604656220175005
ANKIB1	Other	-0.065073077156832
ANKK1	Other	-0.0346852925558739
ANKLE1	Other	0.0325984328068355
ANKLE2	Other	-0.425122021199763
ANKMY1	Other	0.00909072872932774
ANKMY2	Other	-0.122123324578889
ANKRA2	Other	-0.0185957473666702
ANKRD1	Other	-0.0112566110769998
ANKRD10	Other	-0.0128820019014796
ANKRD11	Other	-0.188830078846228
ANKRD12	Other	-0.102703198933952
ANKRD13A	Other	-0.0329543683343381
ANKRD13B	Other	0.1331899589534
ANKRD13C	Other	0.0307809657993675
ANKRD13D	Other	0.0768693587100932
ANKRD16	Other	0.0564103808470345
ANKRD17	Other	-0.455814646175805
ANKRD18A	Other	-0.305846960299196
ANKRD2	Other	0.126204651902086
ANKRD20A1	Other	-0.600949593487898
ANKRD20A2	Other	-0.600949593487898
ANKRD20A3	Other	-0.600949593487898
ANKRD20A4	Other	-0.600949593487898
ANKRD22	Other	-0.305691358513553
ANKRD23	Other	-0.179602550078898
ANKRD24	Other	-0.0511989204904008
ANKRD26	Other	0.15073110219438
ANKRD27	Other	0.048782476479878
ANKRD28	Other	0.215363834523648
ANKRD29	Other	0.147893811035838
ANKRD30A	Nonessential	-0.191034093912771
ANKRD30B	Other	-0.151329987872824
ANKRD31	Other	-0.333985732915457
ANKRD32	Other	0.0227659192532878
ANKRD33	Other	-0.0336461504390436
ANKRD33B	Other	0.142320561936041
ANKRD34A	Other	-0.0023221079305677
ANKRD34B	Other	-0.085256339668628
ANKRD34C	Other	0.00241161149326822
ANKRD35	Other	0.022379293071833
ANKRD36	Other	-0.526101912336611
ANKRD37	Other	-0.00575931129599977
ANKRD39	Other	-0.359209298297569
ANKRD40	Other	-0.138168509678149
ANKRD42	Other	-0.150350571485624
ANKRD44	Other	0.00115597339379755
ANKRD45	Other	0.0614020528611541
ANKRD46	Other	0.0598348358166474
ANKRD49	Other	0.0669013967022028
ANKRD50	Other	-0.00951599302534352
ANKRD52	Other	0.0317481230913915
ANKRD53	Other	-0.124926302025662
ANKRD54	Other	-0.315315885701141
ANKRD55	Other	-0.157186144329249
ANKRD6	Other	0.119571148570028
ANKRD61	Other	0.107585769409403
ANKRD62	Other	0.0755943738881747
ANKRD65	Other	0.00646686194904391
ANKRD66	Other	0.152089643226331
ANKRD7	Other	0.0424213069263142
ANKRD9	Other	0.00161946522713965
ANKS1A	Other	0.154237653484585
ANKS1B	Other	-0.0569567444731883
ANKS3	Other	-0.0196909334925009
ANKS4B	Other	0.128779533489828
ANKS6	Other	0.00108008128988448
ANKZF1	Other	0.0191256125072898
ANLN	Other	-0.159866531020901
ANO1	Other	0.04399149265615
ANO10	Other	0.218330602447473
ANO2	Other	0.0842609290752249
ANO3	Other	0.0026794045557181
ANO4	Other	-0.105819240435043
ANO5	Other	0.00540980535119203
ANO6	Other	0.0793501984443685
ANO7	Other	0.0839477600630203
ANO8	Other	0.119328576129967
ANO9	Other	0.212959415853935
ANP32A	Other	-0.199299307491645
ANP32B	Other	0.0489665291286461
ANP32D	Other	-0.124850363157051
ANP32E	Other	-0.468684102939865
ANPEP	Other	-0.0278417930116894
ANTXR1	Other	-0.0580835246171653
ANTXR2	Other	0.146058688167113
ANTXRL	Nonessential	0.0768297797532105
ANXA1	Other	0.137736337673797
ANXA10	Other	-0.0862438730834609
ANXA11	Other	-0.188960899920181
ANXA13	Other	0.148969105160214
ANXA2	Other	0.0344925777062949
ANXA2R	Other	-0.0899019034322523
ANXA3	Other	0.0426138299613123
ANXA4	Other	0.0774369684542377
ANXA5	Other	0.107938413308027
ANXA6	Other	-0.111734053583197
ANXA7	Other	0.0239103244170476
ANXA8	Other	0.0243089160743576
ANXA8L1	Other	-0.03044009633914
ANXA9	Other	-0.186444214507064
AOAH	Other	0.186526386521378
AOC1	Other	-0.017783953424104
AOC2	Other	-0.176295393614594
AOC3	Other	-0.101595006571291
AOX1	Other	0.179058265328071
AP1AR	Other	-0.11650384798235
AP1B1	Other	-0.0154134075525208
AP1G1	Other	-0.00731810573263405
AP1G2	Other	-0.221483341426926
AP1M1	Other	0.123544295097996
AP1M2	Other	-0.114514866522419
AP1S1	Other	-0.127281397222494
AP1S2	Other	0.0735846281733787
AP1S3	Other	-0.159867156188426
AP2A1	Other	0.118725803940292
AP2A2	Other	0.317657239646204
AP2B1	Other	-0.0713547065698981
AP2M1	Other	0.100787455053425
AP2S1	Other	-0.0750827674822781
AP3B1	Other	-0.178474619267529
AP3B2	Other	-0.0714835292681752
AP3D1	Other	0.150576187068417
AP3M1	Other	-0.0235190912902018
AP3M2	Other	-0.0612131513504194
AP3S1	Other	0.0224993701969395
